
joy , During the period of falling in love 
disgust   ,   One time at the hospital I passed near the intensive care room.   
shame   ,   At one occasion I was ashamed of being refused after a proposal for a friendship with a certain girl.   
guilt   ,   I once stole my father's money and denied having done it.   
joy   ,   When I was selected to start Form I at Chilumba Secondary School dout of the 100 pupils I was among the 4 who were successful.   
fear   ,   We went fishing some 5 or 8 kilometers off the shore of Lake dMalawi.   
danger   ,   I was angered by a classmate who poured soup on to my clothes.   
sadness   ,   I was sad when my MCE grades were out.   
disgust   ,   I was dancing Malipenga traditional dance.   
shame   ,   News was spread that I had been found doing sexual intercourse dwith a small girl.   
guilt   ,   I argued with my father on matters concerning marriage.   
joy   ,   I passed my MCE Examination.   
fear   ,   I was studying in class at night.   
danger   ,   Someone told a lie that I had stolen his money.   
sadness   ,   My Uncle was beaten by his troublesome son.   
disgust   ,   I felt disgust when I received visitors at an odd hour.   
shame   ,   I answered a certain question from Dr.   
guilt   ,   I wrote a bad letter to someone concerning our relationship which dwe created ourselves.   
joy   ,   I met a certain lady at Mchesi and I proposed a word of love to dher and at the same time she accepted my proposal.   
fear   ,   My father gave me money for school fees and I didn't pay school dfees instead I spent it on beer and did not tell him about this.   
danger   ,   There was a cup final match between Limbe Leaf Wanderers and dSilver Strikers and someone promised to give me some money for dadmission fee to watch this game.   
sadness   ,   I had received bad news informing me that grandmother and dgrandfather had passed away.   
disgust   ,   It happened that one of my best friends just took my shirt dwithout my knowledge   
shame   ,   I had high-heeled shoes one time   
guilt   ,   I happened to have met one of my teachers in town during working dhours.   
joy   ,   Passing a very difficult examination which I didn't expect - MCE.   
fear   ,   As we were going to Area 10 a dog chased me.   
danger   ,   Brother took my money to use for his own purposes.   
sadness   ,   After hearing the news about the death of my sister   
disgust   ,   After buying a ticket   
shame   ,   I was very much ashamed after a friend beat me at school and I dwas defeated.   
guilt   ,   I hit my cousin badly after she threw away my dresses in a dpit-latrine that the little girl fainted.   
joy   ,   When I was selected to a University College of Nursing.   
fear   ,   When one of my relatives went out at night leaving me and my dfriend alone   
danger   ,   When someone took my writing materials yet I was to write dExaminations in a few minutes.   
sadness   ,   When I failed my Standard 8 Examination for the first time.   
disgust   ,   When a boy whom I refused to be my lover told all his friends dthat I was his girl he has refused me because I was not faithful to him.   
shame   ,   When someone pointed out that I was proud   
guilt   ,   After I had cheated my parents that I had lost my textbooks so they had to send me money.   
joy   ,   I felt joy when I heard my name being called on the radio as one dof the students who had passed the interview of Nursing and was dselected to start Nursing.   
fear   ,   I felt fear when one night my aunt and Uncle left me alone at dtheir house to look after the baby when they went to a party.   
danger   ,   I felt angry at one time when I was chatting with friends and dsuddenly another friend joined us and started opposing any dcomment I added to our chatting.   
sadness   ,   I felt sad when a thief stole all the clothes from my friend's dcupboard at school boarding.   
disgust   ,   I felt disgusted when I was not given money for lunch at school dby my father as a punishment for beating my little brother.   
shame   ,   I felt shame when I was asked by my cousin that I promised to buy dher a birthday present but I didn't buy it for her in front of friends.   
guilt   ,   I felt guilt when my friends were punished to slash grass at the dgound because of making noise in class.   
joy   ,   When I passed my MSCE Exams and was selected to go to college.   
fear   ,   I was with my boyfriend forgetting that I had left the house dunlocked.   
danger   ,   My best friend started moving out with my boyfriend.   
sadness   ,   I was sad when I heard that my cousin died because of being dbewitched by her husband's second wife.   
disgust   ,   My friend promised to take me out for a movie but he didn't turn dup.   
shame   ,   I met a woman who was looking for our house.   
guilt   ,   I went to my boyfrien's house.   
joy   ,   When I was selected to come here.   
fear   ,   Somebody told her friend that she would hit me wherever we would dmeet.   
danger   ,   This was when my boyfriend told me that I was double-crossing him dwith a certain boy.   
sadness   ,   When I heard that my friend had started drinking beer.   
disgust   ,   I went to a party and there were some cakes which weren't good dand had a bad smell.   
shame   ,   One day I was supposed to go to a movie with my boyfriend.   
guilt   ,   I slapped my sister's daughter and after several hours   
joy   ,   When the church choir came one Sunday after being away for some weeks.   
fear   ,   When I came home late one day.   
danger   ,   When a little brother of mine damaged a cassette.   
sadness   ,   I was watching T.   
disgust   ,   I saw a program on T.   
shame   ,   When I decided not to out any longer with a girl whom I liked dquite a lot.   
